,autor,edicao,link,resumo,tipo_trabalho,titulo
57,"
								Jeronimo Oliveira Muniz
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/36,"
					Há uma crença comum de que as maiores taxas de reprodução dos pobres aumentariam os níveis médios de pobreza, causariam elevação da desigualdade, mitigariam o desenvolvimento econômico e reduziriam a mobilidade social ascendente. Para testar estas hipóteses, o presente estudo utilizou dados dos Censos brasileiros de 1980, 1991 e 2000. Além de apresentar as taxas de crescimento demográfico de subpopulações em diferentes níveis de renda (classes baixa, média e alta), este artigo também avalia o impacto do diferencial de taxas demográficas sobre o tamanho, a composição e o crescimento de classes específicas de renda e sobre a distribuição de renda a partir de projeções populacionais e traz análises de populações estáveis para demonstrar as implicações de longo prazo causadas pela manutenção ou alteração dos padrões demográficos correntes sobre a composição da pobreza e da desigualdade.
				","
									Artigos originais
						","
		Dinâmica demográfica da pobreza e da desigualdade de renda: o caso do Brasil
	"
58,"
								Talianne Rodrigues Santos
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/37,"
					Aposentadoria por invalidez provoca um impacto limitante no crescimento da força de trabalho. Este artigo procura traçar o perfil socioeconômico-demográfico do beneficiário aposentado por invalidez, na Paraíba, no quinquênio 2007-2011 e verificar a proporção de benefícios concedidos e suas causas. Para tanto, foi realizada uma pesquisa observacional, descritiva, com dados secundários, a partir de um formulário construído para coleta de dados, contendo as seguintes variáveis: ano em que o benefício foi concedido; motivo do afastamento segundo o Código Internacional de Doenças (10ª Revisão); faixa etária, sexo e faixa salarial do aposentado após a invalidez; tempo de contribuição ao INSS antes da aposentadoria; e forma de filiação (desempregado, segurado especial, autônomo, facultativo, empregado doméstico e trabalhador avulso). Para análise, foi utilizado o software Statistical Package for Social Sciences (SPSS), versão 20.0. Do total de 13.537 beneficiários por invalidez, 62,8% estavam na faixa de 40 a 59 anos, 64% eram do sexo masculino, 63% possuíam uma média salarial entre um e dois salários mínimos, 28,3% dos benefícios foram concedidos a pessoas desempregadas e 25,3% das concessões deveram-se a doenças circulatórias. Espera-se que este estudo seja propulsor de outros estudos no Estado da Paraíba, pois a mensuração de indicadores é necessária para que se possa intervir visando a redução das aposentadorias por invalidez.
				","
									Artigos originais
						","
		Perfil socioeconômico-demográfico do beneficiário do Instituto Nacional do Seguro Social aposentado por invalidez e suas causas, no Estado da Paraíba, no quinquênio 2007-2011
	"
59,"
								Windsor Ramos da Silva Júnior
							",,,,,
60,"
								Inácia Sátiro Xavier de França
							",,,,,
61,"
								Alessandro Leite Cavalcanti
							",,,,,
62,"
								Maria das Graças Melo Fernandes
							",,,,,
63,"
								Ana Cristina Ferreira
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/38,"
					Ao longo das últimas décadas, o número de estrangeiros residentes em Portugal aumentou de forma expressiva. Neste contexto, a comunidade brasileira assumiu uma importância cada vez maior, sendo em 2009 a nacionalidade mais representada, com uma participação de 25% no total de residentes estrangeiros em Portugal. Esta evolução tem, como seria de se esperar, reflexos a outros níveis, em particular no contexto do casamento. Contrariando a tendência decrescente observada para o total de casamentos ocorridos entre 2001 e 2009, aqueles em que pelo menos um dos cônjuges nasceu no Brasil quase quadruplicaram nesse período. Para muitos autores, os casamentos mistos são um bom indicador da integração das comunidades imigrantes na sociedade de acolhimento. Assim, dada a importância da comunidade brasileira residente em Portugal, é relevante observar qual o peso dos casamentos mistos nesta comunidade e analisar seus padrões de matrimônio. A análise estatística dos microdados dos casamentos disponibilizados pelo Instituto Nacional de Estatística possibilitou estudar e caraterizar a evolução dos casamentos registrados em Portugal, entre 2001 e 2009, envolvendo brasileiros residentes em Portugal. Ficou patente a existência de um elevado nível de casamentos mistos, em especial com portugueses, neste período, o que indicia sua integração na comunidade de acolhimento. Verificaram-se igualmente algumas diferenças nos padrões de matrimônio entre os sexos, bem como uma tendência para a diminuição da importância dos casamentos mistos, em especial entre os homens.
				","
									Artigos originais
						","
		Padrões de casamento dos imigrantes brasileiros residentes em Portugal
	"
64,"
								Madalena Ramos
							",,,,,
65,"
								Alessandra Sampaio Chacham
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/39,"
					Neste trabalho, investiga-se como desigualdades de classe e de gênero atuam no sentido de reduzir o grau de autonomia de adolescentes (15 a 19 anos) e mulheres jovens (20 a 24 anos), influenciando seu comportamento sexual e reprodutivo, especificamente na experiência da gravidez na adolescência. Na análise foram utilizados dados provenientes de dois inquéritos, cuja amostra total foi de 648 jovens do sexo feminino entre 15 e 24 anos de idade, 292 residentes em bairros de classe média e 356 em favelas situados na região centro-sul da cidade de Belo Horizonte, Brasil. Nos resultados, encontrou-se uma prevalência bruta de 27,3% de gravidez até os 19 anos entre as jovens residentes em favelas e de 1,7% entre as moradoras em bairros da região centro-sul de Belo Horizonte. Os dados apontam para uma relação direta entre a gravidez na adolescência com o controle e a violência por parte do parceiro. Entre aquelas residentes em favelas, 48% das que declararam ter sofrido violência física por parte de um parceiro e 58% das que declararam ter sofrido violência sexual haviam engravidado ao menos uma vez antes dos 19 anos. A associação da violência de gênero com a gravidez na adolescência se manteve presente mesmo quando controlada por classe social, ainda que seu peso fosse muito mais pronunciado entre as jovens de baixa renda. Esses resultados reforçam a importância de se aprofundar a compreensão acerca do impacto das desigualdades de classe e gênero no comportamento sexual e reprodutivo de adolescentes e mulheres jovens.
				","
									Artigos originais
						","
		Autonomia, gênero e gravidez na adolescência: uma análise comparativa da experiência de adolescentes e mulheres jovens provenientes de camadas médias e populares em Belo Horizonte
	"
66,"
								Mônica Bara Maia
							",,,,,
67,"
								Malco Braga Camargo
							",,,,,
68,"
								Rebeca de Souza e Silva
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/40,"
					Esse artigo investiga fatores associados ao aborto induzido entre jovens residentes numa comunidade pobre da cidade de São Paulo. A amostra foi composta por 102 homens e 99 mulheres de 14 a 25 anos de idade que já haviam iniciado suas vidas sexuais. Usou-se o modelo hierárquico de regressão logística. As variáveis não ter companheiro sexual no momento da entrevista, sexo do entrevistado, idade no momento da entrevista, priorizar morar só e número de gestações compuseram o modelo final. Dar muita importância a morar só quadruplica a chance de ocorrer um aborto. Jovens mais velhos foram menos propensos a se deparar com um aborto, dado que a chance de se optar pelo aborto se reduz 17% para cada incremento de um ano na idade dos jovens. Isso é indicativo de que as gestações ocorreram de forma inesperada, intempestiva, como é praxe nas condutas adolescentes, sendo as maiores candidatas a terminarem em aborto provocado. Evidencia-se, portanto, a necessidade de serem investidos recursos financeiros para obtenção de métodos contraceptivos eficazes e inócuos, destinados ao início da vida sexual.
				","
									Artigos originais
						","
		Fatores associados ao aborto induzido entre jovens pobres na cidade de São Paulo, 2007
	"
69,"
								Solange Andreoni
							",,,,,
70,"
								Harley Silva
							","
				v. 29 n. 2 (2012)
			",https://rebep.org.br/revista/article/view/41,"
					Este trabalho explora relações entre fatores socioeconômicos e demográficos e a produção de resíduos sólidos domiciliares – o lixo doméstico –, para o município de Belo Horizonte em 2002. A proposta foi investigar se diferenciais socioeconômicos (especificamente renda e educação) e demográficos (especificamente estrutura etária e domiciliar) são importantes na definição do volume de resíduos gerado em sub-regiões do município. O consumo, nesse sentido, é visto como o elo entre as dimensões “população” e “geração de resíduos”. A fonte de dados sobre a geração de resíduos sólidos é a Superintendência de Limpeza Urbana (SLU), responsável pela coleta e sistematização das informações em uma malha cartográfica digital. Tal representação espacial das informações permitiu concatená-las com os dados da malha digital das Áreas de Ponderação do Instituto Brasileiro de Geografia e Estatística (IBGE), referentes ao Censo Demográfico 2000. Métodos estatísticos multivariados foram empregados para investigar as associações entre variáveis populacionais e a produção de resíduos. O trabalho se destaca no cenário dos estudos de população no Brasil pelo uso inédito de informações produzidas sobre resíduos sólidos urbanos e a interação de sua produção com aspectos socioeconômicos e demográficos. Os resultados indicam que a concentração de domicílios unipessoais, população e chefes com 60 anos e mais, e idade média elevada, algo como um “perfil demográfico urbano-contemporâneo”, surge recorrentemente como aspecto demográfico central na diferenciação de áreas de maior geração per capita. Estes fatores são associados constantemente à renda e escolaridade elevadas.
				","
									Artigos originais
						","
		Demografia do consumo urbano: um estudo sobre a geração de resíduos sólidos domiciliares no município de Belo Horizonte
	"
