,autor,edicao,link,paginas,tipo_trabalho,titulo
586,"
			Cassiane da Costa, José Marcos Froehlich, Ricardo Howes Carpes
		",,,"
				465-483
			",,"
			Masculinização rural: uma abordagem a partir da regionalização por sistemas agrários no Rio Grande do Sul
					"
587,"
			Rogério da Palma, Oswaldo Mário Serra Truzzi
		",,,"
				485-501
			",,"
			O pós-abolição e suas dinâmicas de sociabilidade: lógicas familiares e relações interpessoais no oeste paulista cafeeiro
					"
588,"
			Ignacio Pardo, Carmen Varela
		",,,"
				503-518
			",,"
			Fecundidade, taxa de reposição e políticas familiares na América Latina e no Caribe: o que se pode apreender da experiência europeia?
					"
589,"
			Rafael Henrique Moraes Pereira, Paulo A. Meyer M. Nascimento, Thiago Costa Araújo
		",,,"
				519-548
			",,"
			Projeções de mão de obra qualificada no Brasil: cenários para a disponibilidade de engenheiros até 2020
					"
590,"
			Raquel Rangel de Meireles Guimarães
		",,,"
				549-566
			",,"
			O futuro do ensino superior nos países BRIC: uma perspectiva demográfica
					"
591,"
			Alexandre Xavier Ywata de Carvalho, Camilo Rey Laureto, Marina Garcia Pena, Pedro Henrique Melo Albuquerque, Waldery Rodrigues Junior
		",,,"
				567-594
			",,"
			Um estudo das metodologias e funcionalidades dos índices de segregação
					"
592,"
			Cláudio Santiago Dias Júnior, Cinthia Teixeira de Oliveira, Ana Paula de Andrade Verona, João Luiz Pena, Marília Alfenas de Oliveira Sírio, Maria Terezinha Bahia, George Luiz Lins Machado-Coelho
		","
									v. 30 n. 2 (2013)
							",https://rebep.org.br/revista/issue/view/53,"
				595-602
			","
					Notas de pesquisa
				","
			Prevalência de parasitoses intestinais e estado nutricional, segundo sexo e idade, entre a população indígena Caxixó, Minas Gerais, Brasil
					"
593,"
			Ana Amélia Camarano
		","
									v. 30 n. 2 (2013)
							",https://rebep.org.br/revista/issue/view/53,"
				603-608
			","
					Ponto de Vista
				","
			Perspectivas para Cairo+20: como avançar na discussão sobre população e desenvolvimento
					"
594,"
			Ricardo Ventura Santos
		","
									v. 30 n. 2 (2013)
							",https://rebep.org.br/revista/issue/view/53,"
				609-611
			","
					Resenha
				","
			Demografia dos povos indígenas em perspectiva internacional
					"
595,"
			Douglas Sathler
		",,,"
				613-615
			",,"
			População, espaço e ambiente: por uma demografia da adaptação às mudanças climáticas globais
					"
596,"
			Suzana Cavenaghi
		","
									v. 30 (2013)
							",https://rebep.org.br/revista/issue/view/54,"
				S3-S4
			","
					Editorial
				","
			Nota da Editora
					"
597,"
			Tim Miller, Helena Cruz Castanheira
		","
									v. 30 (2013)
							",https://rebep.org.br/revista/issue/view/54,"
				S5-S23
			","
					Artigos originais
				","
			O impacto fiscal do envelhecimento populacional no Brasil: 2005-2050
					"
598,"
			Maira Andrade Paulo, Simone Wajnman, Ana Maria Camilo Hermeto de Oliveira
		",,,"
				S25-S43
			",,"
			A relação entre renda e composição domiciliar dos idosos no Brasil: um estudo sobre o impacto do recebimento do Benefício de Prestação Continuada
					"
599,"
			Rodrigo Rafael Zanon, Antonio Carlos Moretto, Rossana Lott Rodrigues
		",,,"
				S45-S67
			",,"
			Envelhecimento populacional e mudanças no padrão de consumo e na estrutura produtiva brasileira
					"
600,"
			Marden Barbosa de Campos, Alisson Flávio Barbieri
		",,,"
				S69-S84
			",,"
			Considerações teóricas sobre as migrações de idosos
					"
601,"
			Francismara Fernandes Guerra, Moema Bueno Gonçalves Fígoli
		",,,"
				S85-S102
			",,"
			Esperança de vida e sua relação com indicadores de longevidade: um estudo demográfico para o Brasil, 1980-2050
					"
602,"
			Mônica Viegas Andrade, Ana Carolina Maia, Cristina Guimarães Rodrigues
		",,,"
				S103-S117
			",,"
			Indicadores de gastos com serviços médicos no setor de saúde suplementar no Brasil
					"
603,"
			Luciane Santiago Tavares, Iuri da Costa Leite, Marina Ferreira de Noronha, Roberto do Nascimento Rodrigues, Geraldo Marcelo da Cunha, Joaquim Gonçalves Valente, Joyce Mendes de Andrade Schramm, Maria de Fátima Santos Costa
		",,,"
				S119-S134
			",,"
			Diferenciais da carga de doença das condições maternas entre mulheres de 15 a 44 anos no Estado de Minas Gerais, 2004-2006
					"
604,"
			Celeste de Souza Rodrigues, Rosiene Maria de Freitas, Ada Ávila Assunção, Iara Barreto Bassi, Adriane Mesquita de Medeiros
		",,,"
				S135-S154
			",,"
			Absenteísmo-doença segundo autorrelato de servidores públicos municipais em Belo Horizonte
					"
605,"
			Bráulio Figueiredo Alves da Silva, Claudio Chaves Beato Filho
		",,,"
				S155-S170
			",,"
			Ecologia social do medo: avaliando a associação entre contexto de bairro e medo de crime
					"
606,"
			Luciana Teixeira de Andrade, Alexandre Magno Alves Diniz
		",,,"
				S171-S191
			",,"
			A reorganização espacial dos homicídios no Brasil e a tese da interiorização
					"
607,"
			Carlos Philipe Barbosa Polato, Pamila Siviero, Carla Jorge Machado, Gisele Macedo da Silva Bonfante, Eli Iola Gurgel Andrade, Francisco de Assis Acurcio, Mariângela Leal Cherchiglia
		","
									v. 30 (2013)
							",https://rebep.org.br/revista/issue/view/54,"
				S193-S198
			","
					Notas de pesquisa
				","
			Sobrevivência específica de pacientes com câncer de pulmão tratados no sistema público de saúde no Brasil e uma aplicação da Tábua Associada de Decremento Único
					"
608,"
			Adriane Mesquita de Medeiros, Renata Jardim
		","
									v. 30 (2013)
							",https://rebep.org.br/revista/issue/view/54,"
				S199-S201
			","
					Resenha
				","
			Proposta de ações em saúde dos servidores públicos federais à luz das mudanças demográficas
					"
609,"
			Suzana Cavenaghi
		","
									v. 31 n. 1 (2014)
							",https://rebep.org.br/revista/issue/view/55,"
				3-6
			","
					Editorial
				","
			Nota da Editora
					"
610,"
			Cristiano Machado Costa, José Guilherme Cardoso Correa
		","
									v. 31 n. 1 (2014)
							",https://rebep.org.br/revista/issue/view/55,"
				7-27
			","
					Artigos originais
				","
			Os efeitos do alfabetismo funcional sobre a empregabilidade dos trabalhadores brasileiros
					"
611,"
			Elzira Lúcia de Oliveira, Eduardo Gonçalves Rios-Neto, Ana Maria Hermeto Camilo de Oliveira
		",,,"
				29-49
			",,"
			O efeito trabalhador adicional para filhos no Brasil
					"
612,"
			Maira Covre-Sussai
		",,,"
				51-71
			",,"
			Tomada de decisão conjunta: construção e validação de uma proxy-chave para o estudo das relações de gênero de casais contemporâneos
					"
613,"
			Raquel Zanatta Coutinho, André Braz Golgher
		",,,"
				73-98
			",,"
			Um estudo sobre a filiação religiosa no Brasil entre 1980 e 2010: efeitos de idade, período e coorte
					"
614,"
			Ana Paula A. Verona, Mark Regnerus
		",,,"
				99-115
			",,"
			Pentecostalismo e iniciação sexual pré-marital no Brasil
					"
615,"
			Norberto Lanza, Claudia Valeggia
		",,,"
				117-134
			",,"
			Análise longitudinal do comportamento reprodutivo de uma população Toba em transição
					"
616,"
			Fábio Augusto Scarpim
		",,,"
				135-150
			",,"
			Família, religiosidade e identidade étnica nas práticas de transmissão de nomes de batismo em um grupo de imigrantes italianos
					"
617,"
			Sênia Bastos, Maria do Rosário Rolfsen Salles
		",,,"
				151-167
			",,"
			A imigração polonesa para São Paulo no pós-Segunda Guerra Mundial no quadro das entradas dos “deslocados de guerra”: 1947 a 1951
					"
618,"
			Roberto Luiz do Carmo, Ricardo de Sampaio Dagnino, Igor Cavallini Johansen
		",,,"
				169-190
			",,"
			Transição demográfica e transição do consumo urbano de água no Brasil
					"
619,"
			Julia Corrêa Côrtes, Álvaro de Oliveira D’Antona
		",,,"
				191-210
			",,"
			Dinâmicas no uso e cobertura da terra: perspectivas e desafios da Demografia
					"
620,"
			Mirela Castro Santos Camargos
		","
									v. 31 n. 1 (2014)
							",https://rebep.org.br/revista/issue/view/55,"
				211-217
			","
					Notas de pesquisa
				","
			Instituições de longa permanência para idosos: um estudo sobre a necessidade de vagas
					"
621,"
			José Eustáquio Diniz Alves
		","
									v. 31 n. 1 (2014)
							",https://rebep.org.br/revista/issue/view/55,"
				219-230
			","
					Ponto de Vista
				","
			População, desenvolvimento e sustentabilidade: perspectivas para a CIPD pós-2014
					"
622,"
			George Martine
		",,,"
				231-238
			",,"
			Ciência, cultura e a estagnação da agenda ambiental
					"
623,"
			Tiago Carlos Lima do Nascimento, Ricardo Ojima
		","
									v. 31 n. 1 (2014)
							",https://rebep.org.br/revista/issue/view/55,"
				239-242
			","
					Resenha
				","
			Migrações internas no Brasil: um panorama analítico e alguns percursos teóricos
					"
624,"
			Raquel Zanatta Coutinho
		",,,"
				243-247
			",,"
			Incorporating social theory into demography and family research
					"
625,"
			Suzana Cavenaghi
		","
									v. 31 n. 2 (2014)
							",https://rebep.org.br/revista/issue/view/56,"
				255-258
			","
					Editorial
				","
			Nota da Editora
					"
626,"
			Luana Junqueira Dias Myrrha, Pamila Cristina Lima Siviero, Simone Wajnman, Cássio M. Turra
		","
									v. 31 n. 2 (2014)
							",https://rebep.org.br/revista/issue/view/56,"
				259-275
			","
					Artigos originais
				","
			O uso das taxas de crescimento por idade para identificação das principais etapas da transição demográfica no Brasil
					"
627,"
			Raquel Rangel de Meireles Guimarães
		",,,"
				277-290
			",,"
			Incertezas nas projeções populacionais: o estado da arte
					"
628,"
			Carl P. Schmertmann
		",,,"
				291-307
			",,"
			Estimadores splines calibrados: estimativas de taxas detalhadas de fecundidade a partir de dados agrupados por idade
					"
629,"
			André Junqueira Caetano
		",,,"
				309-331
			",,"
			Esterilização cirúrgica feminina no Brasil, 2000 a 2006: aderência à lei de planejamento familiar e demanda frustrada
					"
630,"
			Raquel Zanatta Coutinho, Paula Miranda-Ribeiro
		",,,"
				333-365
			",,"
			Religião, religiosidade e iniciação sexual na adolescência e juventude: lições de uma revisão bibliográfica sistemática de mais de meio século de pesquisas
					"
631,"
			Gabrielle A, Palermo, Denise Britz do Nascimento Silva, Maria Salet Ferreira Novellino
		",,,"
				367-394
			",,"
			Fatores associados ao desempenho escolar: uma análise da proficiência em matemática dos alunos do 5º ano do ensino fundamental da rede municipal do Rio de Janeiro
					"
632,"
			Vinicius Gaspar Garcia, Alexandre Gori Maia
		",,,"
				395-418
			",,"
			Características da participação das pessoas com deficiência e/ou limitação funcional no mercado de trabalho brasileiro
					"
633,"
			Luciana Castaneda, Shamyr Sulyvan de Castro, Ligia Bahia
		",,,"
				419-429
			",,"
			Construtos de incapacidade presentes na Pesquisa Nacional por Amostra de Domicílio (PNAD): uma análise baseada na Classificação Internacional de Funcionalidade, Incapacidade e Saúde (CIF)
					"
634,"
			Pablo Sebastián Gómez, Eduardo Bologna
		",,,"
				431-451
			",,"
			Pobreza e remessas internacionais Sul-Sul no Paraguai
					"
635,"
			Ricardo Antunes Dantas de Oliveira
		",,,"
				453-469
			",,"
			Referenciais teóricos da migração internacional e a questão da mobilidade espacial dos cortadores de cana
					"
636,"
			Elza S. Berquó, Suzana M. Cavenaghi
		","
									v. 31 n. 2 (2014)
							",https://rebep.org.br/revista/issue/view/56,"
				471-482
			","
					Notas de pesquisa
				","
			Notas sobre os diferenciais educacionais e econômicos da fecundidade no Brasil
					"
637,"
			César Marques
		","
									v. 31 n. 2 (2014)
							",https://rebep.org.br/revista/issue/view/56,"
				483-489
			","
					Resenha
				","
			As permanências dos desafios ambientais nos espaços urbanos
					"
638,"
			José Eustáquio Diniz Alves, Miguel Antônio Pinho Bruno
		",,,"
				491-498
			",,"
			Crescimento demoeconômico e desigualdade no século XXI
					"
639,"
			Suzana Cavenaghi
		","
									v. 32 n. 1 (2015)
							",https://rebep.org.br/revista/issue/view/57,"
				3-6
			","
					Editorial
				","
			Nota da Editora
					"
640,"
			Nilton Cezar Pereira Pinto
		","
									v. 32 n. 1 (2015)
							",https://rebep.org.br/revista/issue/view/57,"
				7-23
			","
					Artigos originais
				","
			O impacto da crise econômica espanhola na mão de obra imigrante
					"
641,"
			Elaine Meire Vilela, Daniela Portella Sampaio
		",,,"
				25-48
			",,"
			Um olhar sobre as autorizações de permanência a estrangeiros no Brasil, entre 2005 e 2011
					"
642,"
			Gabriel Escanés
		",,,"
				49-71
			",,"
			Tendências da mortalidade por atropelamentos e colisões de trânsito na Argentina entre 2000-2002 e 2009-2011
					"
643,"
			María José Vilalta
		",,,"
				73-100
			",,"
			Morte nos Andes: sociedade colonial e mortalidade nas fazendas andinas (Equador, 1743-1857)
					"
644,"
			Rafael Henrique Moraes Pereira, Carlos Henrique Ribeiro de Carvalho, Pedro Herculano G. Ferreira de Souza, Ana Amelia Camarano
		",,,"
				101-120
			",,"
			Envelhecimento populacional, gratuidades no transporte público e seus efeitos sobre as tarifas na Região Metropolitana de São Paulo
					"
645,"
			Fernanda Fortes de Lena, Ana Maria Hermeto Camilo de Oliveira
		",,,"
				121-137
			",,"
			Padrões de seletividade relacionados aos casais homossexuais e heterossexuais no Brasil
					"
646,"
			Reinaldo Onofre dos Santos, Alisson Flávio Barbieri
		",,,"
				139-163
			",,"
			Projeções populacionais em pequenas áreas: uma avaliação comparativa de técnicas de extrapolação matemática
					"
647,"
			Pedro Herculano Guimarães Ferreira de Souza
		",,,"
				165-188
			",,"
			A distribuição de renda nas pesquisas domiciliares brasileiras: harmonização e comparação entre Censos, PNADs e POFs
					"
648,"
			Susana Villas-Boas, Albertina L. Oliveira, Natália Ramos, Inmaculada Montero
		","
									v. 32 n. 1 (2015)
							",https://rebep.org.br/revista/issue/view/57,"
				189-197
			","
					Notas de pesquisa
				","
			Conhecimento da comunidade local para a elaboração e implementação de programas intergeracionais
					"
649,"
			Ricardo Ojima
		","
									v. 32 n. 1 (2015)
							",https://rebep.org.br/revista/issue/view/57,"
				199-202
			","
					Resenha
				","
			O futuro urbano nas economias emergentes
					"
650,"
			Suzana Cavenaghi
		","
									v. 32 n. 2 (2015)
							",https://rebep.org.br/revista/issue/view/58,"
				211-217
			","
					Editorial
				","
			Nota da Editora
					"
651,"
			Carlos Lobo, Ralfo Matos, Leandro Cardoso, Lídia Comini, Guilherme Pinto
		","
									v. 32 n. 2 (2015)
							",https://rebep.org.br/revista/issue/view/58,"
				219-233
			","
					Artigos originais
				","
			Comutação ampliada na Região Metropolitana de Belo Horizonte: evidências à mobilidade pendular inversa
					"
652,"
			Rodrigo Coelho de Carvalho, José Irineu Rangel Rigotti
		",,,"
				235-256
			",,"
			As migrações nas cidades médias de Minas Gerais e seus impactos no crescimento e na composição por sexo e idade da população no período 1980-2010
					"
653,"
			Ana Carolina Soares Bertho, Tirza Aidar
		",,,"
				257-276
			",,"
			Mobilidade cotidiana e as taxas de vitimização por acidentes de trânsito: o que é possível enxergar a partir dos dados censitários?
					"
654,"
			Laura Débora Acosta, Enrique Peláez
		",,,"
				277-292
			",,"
			Mortalidade atribuível ao sobrepeso e à obesidade na Argentina: comparação entre 2005 e 2009
					"
655,"
			Antonio Otaviano Vieira Junior, Roberta Sauaia Martins
		",,,"
				293-311
			",,"
			Epidemia de sarampo e trabalho escravo no Grão-Pará (1748-1778)
					"
656,"
			Lucilena Ferraz Castanheira Corrêa, João Policarpo Rodrigues Lima, Luís Henrique Romani de Campos
		",,,"
				313-333
			",,"
			Uma análise da pobreza multidimensional do Nordeste metropolitano com uso de modelo de equações estruturais
					"
657,"
			Mateus de Carvalho Reis Neves, Marcos Falcão Gonçalves, João Eustáquio de Lima
		",,,"
				335-356
			",,"
			Mundos distintos e realidades semelhantes: empregabilidade dos jovens no Nordeste e Sudeste brasileiros
					"
658,"
			Leonardo Freire de Mello, Douglas Sathler
		",,,"
				357-380
			",,"
			A demografia ambiental e a emergência dos estudos sobre população e consumo
					"
659,"
			Clovis Ultramari, Manoela Massuchetto Jazar
		","
									v. 32 n. 2 (2015)
							",https://rebep.org.br/revista/issue/view/58,"
				381-386
			","
					Ponto de Vista
				","
			Sobre resenhas científicas
					"
660,"
			Tania Di Giacomo do Lago
		","
									v. 32 n. 2 (2015)
							",https://rebep.org.br/revista/issue/view/58,"
				387-394
			","
					Notas de pesquisa
				","
			Nascimentos não planejados no Brasil eram 46% em 2006. Diminuíram?
					"
661,"
			Raquel Zanatta Coutinho, Juliana Vasconcelos de Souza Barros, Angelita Alves de Carvalho
		",,,"
				395-407
			",,"
			30 anos de DHS: o que andamos pesquisando sobre fecundidade no Brasil
					"
662,"
			César Marques, Ana Carolina Soares Bertho
		","
									v. 32 n. 2 (2015)
							",https://rebep.org.br/revista/issue/view/58,"
				409-416
			","
					Resenha
				","
			O futuro da dinâmica demográfica: rupturas ou continuidades?
					"
663,"
			Suzana Cavenaghi
		","
									v. 32 n. 3 (2015)
							",https://rebep.org.br/revista/issue/view/59,"
				423-428
			","
					Editorial
				","
			Nota da Editora
					"
664,"
			Douglas Sathler, César Marques
		",,,"
				429-432
			",,"
			Nota Editoral Temática - GT População, Espaço e Ambiente: 25 anos abrindo novas fronteiras do conhecimento
					"
665,"
			George Martine, José Eustáquio Diniz Alves
		","
									v. 32 n. 3 (2015)
							",https://rebep.org.br/revista/issue/view/59,"
				433-460
			","
					Artigos originais
				","
			Economia, sociedade e meio ambiente no século 21: tripé ou trilema da sustentabilidade?
					"
666,"
			Alisson F. Barbieri, Gilvan R. Guedes, Kenya Noronha, Bernardo L. Queiroz, Edson P. Domingues, José Irineu R. Rigotti, Glaucia P. da Motta, Flavia Chein, Francisco Cortezzi, Ulisses E. Confalonieri, Kenia de Souza
		",,,"
				461-488
			",,"
			Transições populacionais e mudança de temperatura em Minas Gerais, Brasil: uma abordagem multidimensional
					"
667,"
			Cristina Guimarães Rodrigues, Evangelina da Motta Pacheco Araújo Vormittag, Julia Affonso Cavalcante, Paulo Hilário Nascimento Saldiva
		",,,"
				489-510
			",,"
			Projeção da mortalidade e internações hospitalares na rede pública de saúde atribuíveis à poluição atmosférica no Estado de São Paulo entre 2012 e 2030
					"
668,"
			Glauco Umbelino, Clodoveu Davis Jr.
		",,,"
				511-536
			",,"
			Simulação da quantidade máxima de domicílios permitida por quadras em Belo Horizonte
					"
669,"
			Luciana de Resende Londe, Victor Marchezini, Rodrigo Silva da Conceição, Katia Cristina Bortoletto, Ana Elisa Pereira Silva, Elisa Volker dos Santos, Regina Tortorella Reani
		",,,"
				537-562
			",,"
			Impactos de desastres socioambientais em saúde pública: estudos dos casos dos Estados de Santa Catarina em 2008 e Pernambuco em 2010
					"
670,"
			Álvaro de Oliveira D’Antona, Ricardo de Sampaio Dagnino, Maria do Carmo Dias Bueno
		",,,"
				563-585
			",,"
			Distribuição da população e cobertura da terra: o lugar das Áreas Protegidas no Pará, Brasil em 2010
					"
671,"
			José Eustáquio Diniz Alves
		","
									v. 32 n. 3 (2015)
							",https://rebep.org.br/revista/issue/view/59,"
				587-598
			","
					Ponto de Vista
				","
			Os 70 anos da ONU e a agenda global para o segundo quindênio (2015-2030) do século XXI
					"
672,"
			Landy Sánchez Peña
		",,,"
				599-608
			",,"
			Sustentabilidad y equidad: reflexiones en torno a la agenda latinoamericana post 2015
					"
673,"
			Susana B. Adamo
		",,,"
				609-618
			",,"
			About mitigation, adaptation and the UNFCCC’s 21st Conference of the Parties
					"
674,"
			Douglas Sathler, Susana B. Adamo, Everton E. C. Lima
		","
									v. 32 n. 3 (2015)
							",https://rebep.org.br/revista/issue/view/59,"
				619-630
			","
					Notas de pesquisa
				","
			Mudanças climáticas e mitigação no setor florestal: REDD+, políticas nacionais e desenvolvimento sustentável local na Amazônia Legal
					"
675,"
			George Martine
		","
									v. 32 n. 3 (2015)
							",https://rebep.org.br/revista/issue/view/59,"
				631-638
			","
					Resenha
				","
			Reviving or interring global governance on sustainability? Sachs, the UN and the SDGs
					"
676,"
			Ricardo Ojima
		","
									v. 32 n. 3 (2015)
							",https://rebep.org.br/revista/issue/view/59,"
				639-643
			","
					Divulgação de livros
				","
			A experiência vivida junto ao livro Habitar em risco
					"
677,"
			Suzana Cavenaghi
		","
									v. 33 n. 1 (2016)
							",https://rebep.org.br/revista/issue/view/60,"
				3-8
			","
					Editorial
				","
			Transformações e descompassos
					"
678,"
			Francismara Fernandes Guerra, Simone Wajnman, Cássio M. Turra
		","
									v. 33 n. 1 (2016)
							",https://rebep.org.br/revista/issue/view/60,"
				9-30
			","
					Artigos originais
				","
			Disponibilidade de irmãos no Brasil: um estudo metodológico sobre relações de parentesco
					"
679,"
			Thiago Dumont Oliveira, André Braz Golgher, Pedro Mendes Loureiro
		",,,"
				31-52
			",,"
			Trajetórias de local de moradia, estudo e trabalho dos jovens brasileiros entre 2003 e 2011: uma análise de entropia
					"
680,"
			Maira Covre-Sussai
		",,,"
				53-74
			",,"
			Características socioeconômicas e culturais das uniões consensuais no Brasil
					"
681,"
			Cristiane Silva Corrêa, Bernardo Lanza Queiroz, Dimitri Fazito
		",,,"
				75-98
			",,"
			Relação entre tamanho e estrutura da rede de apoio e o tempo individual dedicado à atenção ao idoso na cidade de São Paulo, 2000
					"
682,"
			José Marcos Pinto da Cunha
		",,,"
				99-128
			",,"
			Aglomerações urbanas e mobilidade populacional: o caso da Região Metropolitana de Campinas
					"
683,"
			Gisele Maria Ribeiro de Almeida, Rosana Baeninger
		",,,"
				129-154
			",,"
			A imigração brasileira na França: do tipo histórico às modalidades migratórias contemporâneas
					"
684,"
			Mariana Vieira Martins de Matos, Pedro Luis do Nascimento Silva
		",,,"
				155-174
			",,"
			Comparação de métodos para o tratamento das medidas antropométricas da POF 2008-2009
					"
685,"
			Jean Agustin Velásquez Piñas, Osvaldo Jose Venturini, Electo Eduardo Silva Lora, Michele Aparecida de Oliveira, Orly Denisse Calle Roalcaba
		","
									v. 33 n. 1 (2016)
							",https://rebep.org.br/revista/issue/view/60,"
				175-188
			","
					Notas de pesquisa
				","
			Aterros sanitários para geração de energia elétrica a partir da produção de biogás no Brasil: comparação dos modelos LandGEM (EPA) e Biogás (Cetesb)
					"
686,"
			Suzana M. Cavenaghi, José Eustáquio Diniz Alves
		",,,"
				189-206
			",,"
			Qualidade das informações sobre fecundidade no Censo Demográfico de 2010
					"
687,"
			Raquel Zanatta Coutinho
		","
									v. 33 n. 1 (2016)
							",https://rebep.org.br/revista/issue/view/60,"
				207-214
			","
					Resenha
				","
			Uma agenda inacabada: monitorando os avanços e desafios dos direitos reprodutivos
					"
688,"
			Suzana Cavenaghi
		","
									v. 33 n. 2 (2016)
							",https://rebep.org.br/revista/issue/view/62,"
				223-230
			","
					Editorial
				","
			Dados e mais dados para “não deixar ninguém para trás”
					"
689,"
			Ricardo Ventura Santos
		",,,"
				2311-235
			",,"
			Prólogo ao dossiê “Demografia dos povos indígenas no Brasil: abordagens socioantropológicas”
					"
690,"
			Marcelo Gomes Ribeiro
		","
									v. 33 n. 2 (2016)
							",https://rebep.org.br/revista/issue/view/62,"
				237-256
			","
					Artigos originais
				","
			Estrutura social e desigualdade de renda: uma comparação entre os municípios metropolitanos e os não metropolitanos do Brasil entre 2000 e 2010
					"
691,"
			Ansu Mancal, Patrícia Verônica Pinheiro Sales Lima, Ahmad Saeed Khan, Maria Irles de Oliveira Mayorga
		",,,"
				257-281
			",,"
			À espera da seca que vem: capacidade adaptativa em comunidades rurais do semiárido
					"
692,"
			Walcir Soares da Silva Junior, Flávio de Oliveira Gonçalves
		",,,"
				283-301
			",,"
			Evidências da relação entre a frequência no ensino infantil e o desempenho dos alunos do ensino fundamental público no Brasil
					"
693,"
			Alessandra Traldi Simoni, Ricardo de Sampaio Dagnino
		","
									v. 33 n. 2 (2016)
							",https://rebep.org.br/revista/issue/view/62,"
				303-326
			","
					Dossiê
				","
			Dinâmica demográfica da população indígena em áreas urbanas: o caso da cidade de Altamira, Pará
					"
694,"
			Luciene Guimarães de Souza, Silvia Angela Gugelmin, Barbara Coelho Barbosa da Cunha, Marina Atanaka
		",,,"
				327-347
			",,"
			Os indígenas Xavante no Censo Demográfico de 2010
					"
695,"
			Marcio Silva
		",,,"
				349-373
			",,"
			Demografia e antropologia em contraponto: os Enawene-Nawe e suas derivas matrimoniais
					"
696,"
			Luciene Aparecida Ferreira de Barros Longo, Luciane Ouriques Ferreira, Marta Maria do Amaral Azevedo
		",,,"
				375-398
			",,"
			Nupcialidade indígena: possibilidades e limitações de análise utilizando os dados do Censo Demográfico de 2010
					"
697,"
			Laura L. Rodríguez Wong
		",,,"
				399-421
			",,"
			Tendências da fecundidade dos povos indígenas nos Censos Demográficos brasileiros de 1991 a 2010
					"
698,"
			Nilza de Oliveira Martins Pereira
		","
									v. 33 n. 2 (2016)
							",https://rebep.org.br/revista/issue/view/62,"
				423-430
			","
					Notas de pesquisa
				","
			Avanços na captação de dados sobre a população indígena no Censo Demográfico 2010
					"
699,"
			Rosângela Morello
		","
									v. 33 n. 2 (2016)
							",https://rebep.org.br/revista/issue/view/62,"
				431-439
			","
					Ponto de Vista
				","
			Censos nacionais e perspectivas políticas para as línguas brasileiras
					"
700,"
			Marden Barbosa de Campos, Bárbara Roberto Estanislau
		",,,"
				441-449
			",,"
			Demografia dos povos indígenas: os Censos Demográficos como ponto de vista
					"
701,"
			Rosanna Dent
		","
									v. 33 n. 2 (2016)
							",https://rebep.org.br/revista/issue/view/62,"
				451-455
			","
					Resenha
				","
			The Xavante in perspective: anthropology and history in the study of indigenous populations
					"
702,"
			Santiago J. Molina
		",,,"
				457-460
			",,"
			La construcción de poblaciones utilizando los censos de población en Latinoamérica
					"
703,"
			Suzana Cavenaghi
		","
									v. 33 n. 3 (2016)
							",https://rebep.org.br/revista/issue/view/63,"
				467-474
			","
					Editorial
				","
			O papel de editores de revistas de associações científicas
					"
704,"
			Wanda Cabella, Ignacio Pardo
		","
									v. 33 n. 3 (2016)
							",https://rebep.org.br/revista/issue/view/63,"
				475-493
			","
					Artigos originais
				","
			Chegou a hora de usar indicadores ajustados para estudar a fecundidade na América Latina?
					"
705,"
			Sergio Almeida, Paula Pereda, Rafael Ferreira
		",,,"
				495-516
			",,"
			Custos da ampliação da licença-paternidade no Brasil
					"
706,"
			Luana Passos De Souza, Fábio Domingues Waltenberg
		",,,"
				517-539
			",,"
			Bolsa Família e assimetrias de gênero: reforço ou mitigação?
					"
707,"
			Pedro Henrique de Castro Simões, José Eustáquio Diniz Alves, Pedro Luis do Nascimento Silva
		",,,"
				541-566
			",,"
			Transformações e tendências do mercado de trabalho no Brasil entre 2001 e 2015: paradoxo do baixo desemprego?
					"
708,"
			Leonardo Gomes de Sousa, Dimitri Fazito
		",,,"
				567-590
			",,"
			Um estudo sobre os aspectos da dinâmica migratória internacional entre a microrregião de Governador Valadares e os Estados Unidos, 2000-2010
					"
709,"
			Cristiano Sathler dos Reis, Kenya Noronha, Simone Wajnman
		",,,"
				591-612
			",,"
			Envelhecimento populacional e gastos com internação do SUS: uma análise realizada para o Brasil entre 2000 e 2010
					"
710,"
			Angela Segura Cardona, Maria Garzón Duque, Doris Cardona Arango, Alejandra Segura Cardona
		",,,"
				613-628
			",,"
			Risco de comprometimento cognitivo em pessoas idosas nas sub-regiões de Antioquia, Colômbia
					"
711,"
			Marcos Roberto Gonzaga, Carl Paul Schmertmann
		",,,"
				629-652
			",,"
			Estimativa de taxas de mortalidade por idade e sexo para pequenas áreas com regressão de TOPALS: uma aplicação para o Brasil em 2010
					"
712,"
			Mário Moreira Carvalho de Oliveira, Milton Ramos Ramirez, Ricardo Milton Frischtak, Rafael Brandão de Rezende Borges, Bruno Costa, Ricardo Cunha Pedroso
		",,,"
				653-677
			",,"
			Tábuas de mortalidade para a população brasileira de segurados
					"
713,"
			Luciano Tavares Duarte, Denise Britz do Nascimento Silva, Jose Andre de Moura Brito
		",,,"
				679-701
			",,"
			Análise de paradados do Censo Demográfico 2010: uma investigação de fatores associados a erros não amostrais do levantamento de dados
					"
714,"
			Maria Carolina Tomas
		","
									v. 33 n. 3 (2016)
							",https://rebep.org.br/revista/issue/view/63,"
				703-710
			","
					Resenha
				","
			Relações Raciais nas Famílias Brasileiras
					"
